DEBUG (14): receive 1 1, time: 0:0:0.697357153
DEBUG (10): receive 1 1, time: 0:0:0.697357153
DEBUG (9): receive 1 1, time: 0:0:0.697357153
DEBUG (5): receive 1 1, time: 0:0:0.697357153
DEBUG (3): receive 1 1, time: 0:0:0.697357153
DEBUG (4): receive 1 1, time: 0:0:0.697357153
DEBUG (8): receive 1 1, time: 0:0:0.697357153
DEBUG (6): receive 1 1, time: 0:0:0.697357153
DEBUG (15): receive 1 1, time: 0:0:0.697357153
DEBUG (16): receive 1 1, time: 0:0:0.697357153
DEBUG (13): receive 1 1, time: 0:0:0.697357153
DEBUG (12): receive 1 1, time: 0:0:0.697357153
DEBUG (11): receive 1 1, time: 0:0:0.697357153
DEBUG (1): send 1 2, time: 0:0:1.171875010
DEBUG (13): receive 1 2, time: 0:0:1.178009007
DEBUG (9): receive 1 2, time: 0:0:1.178009007
DEBUG (10): receive 1 2, time: 0:0:1.178009007
DEBUG (8): receive 1 2, time: 0:0:1.178009007
DEBUG (4): receive 1 2, time: 0:0:1.178009007
DEBUG (11): receive 1 2, time: 0:0:1.178009007
DEBUG (12): receive 1 2, time: 0:0:1.178009007
DEBUG (14): receive 1 2, time: 0:0:1.178009007
DEBUG (5): receive 1 2, time: 0:0:1.178009007
DEBUG (15): receive 1 2, time: 0:0:1.178009007
DEBUG (6): receive 1 2, time: 0:0:1.178009007
DEBUG (3): receive 1 2, time: 0:0:1.178009007
DEBUG (3): send 1 2, time: 0:0:1.192382822
DEBUG (7): receive 1 2, time: 0:0:1.197143536
DEBUG (5): receive 1 2, time: 0:0:1.197143536
DEBUG (12): receive 1 2, time: 0:0:1.197143536
DEBUG (14): receive 1 2, time: 0:0:1.197143536
DEBUG (4): receive 1 2, time: 0:0:1.197143536
DEBUG (1): receive 1 2, time: 0:0:1.197143536
DEBUG (8): receive 1 2, time: 0:0:1.197143536
DEBUG (10): receive 1 2, time: 0:0:1.197143536
DEBUG (16): receive 1 2, time: 0:0:1.197143536
DEBUG (17): receive 1 2, time: 0:0:1.197143536
DEBUG (6): receive 1 2, time: 0:0:1.197143536
DEBUG (13): receive 1 2, time: 0:0:1.197143536
DEBUG (4): send 1 2, time: 0:0:1.197265635
DEBUG (5): send 1 2, time: 0:0:1.202148447
DEBUG (7): receive 1 2, time: 0:0:1.204483000
DEBUG (5): receive 1 2, time: 0:0:1.204483000
DEBUG (14): receive 1 2, time: 0:0:1.204483000
DEBUG (12): receive 1 2, time: 0:0:1.204483000
DEBUG (6): receive 1 2, time: 0:0:1.204483000
DEBUG (10): receive 1 2, time: 0:0:1.204483000
DEBUG (8): receive 1 2, time: 0:0:1.204483000
DEBUG (3): receive 1 2, time: 0:0:1.204483000
DEBUG (16): receive 1 2, time: 0:0:1.204483000
DEBUG (1): receive 1 2, time: 0:0:1.204483000
DEBUG (13): receive 1 2, time: 0:0:1.204483000
DEBUG (11): receive 1 2, time: 0:0:1.204483000
DEBUG (17): receive 1 2, time: 0:0:1.204483000
DEBUG (6): send 1 2, time: 0:0:1.207031260
DEBUG (13): receive 1 2, time: 0:0:1.208801240
DEBUG (8): receive 1 2, time: 0:0:1.208801240
DEBUG (6): receive 1 2, time: 0:0:1.208801240
DEBUG (17): receive 1 2, time: 0:0:1.208801240
DEBUG (3): receive 1 2, time: 0:0:1.208801240
DEBUG (10): receive 1 2, time: 0:0:1.208801240
DEBUG (2): receive 1 2, time: 0:0:1.208801240
DEBUG (1): receive 1 2, time: 0:0:1.208801240
DEBUG (15): receive 1 2, time: 0:0:1.208801240
DEBUG (9): receive 1 2, time: 0:0:1.208801240
DEBUG (11): receive 1 2, time: 0:0:1.208801240
DEBUG (4): receive 1 2, time: 0:0:1.208801240
DEBUG (12): receive 1 2, time: 0:0:1.208801240
DEBUG (16): receive 1 2, time: 0:0:1.208801240
DEBUG (7): receive 1 2, time: 0:0:1.208801240
DEBUG (14): receive 1 2, time: 0:0:1.208801240
DEBUG (8): send 1 2, time: 0:0:1.216796885
DEBUG (13): receive 1 2, time: 0:0:1.216842604
DEBUG (14): receive 1 2, time: 0:0:1.216842604
DEBUG (8): receive 1 2, time: 0:0:1.216842604
DEBUG (10): receive 1 2, time: 0:0:1.216842604
DEBUG (2): receive 1 2, time: 0:0:1.216842604
DEBUG (1): receive 1 2, time: 0:0:1.216842604
DEBUG (17): receive 1 2, time: 0:0:1.216842604
DEBUG (9): receive 1 2, time: 0:0:1.216842604
DEBUG (4): receive 1 2, time: 0:0:1.216842604
DEBUG (3): receive 1 2, time: 0:0:1.216842604
DEBUG (5): receive 1 2, time: 0:0:1.216842604
DEBUG (16): receive 1 2, time: 0:0:1.216842604
DEBUG (2): send 1 2, time: 0:0:1.217773447
DEBUG (14): receive 1 2, time: 0:0:1.221618639
DEBUG (13): receive 1 2, time: 0:0:1.221618639
DEBUG (6): receive 1 2, time: 0:0:1.221618639
DEBUG (5): receive 1 2, time: 0:0:1.221618639
DEBUG (8): receive 1 2, time: 0:0:1.221618639
DEBUG (10): receive 1 2, time: 0:0:1.221618639
DEBUG (9): receive 1 2, time: 0:0:1.221618639
DEBUG (7): receive 1 2, time: 0:0:1.221618639
DEBUG (9): send 1 2, time: 0:0:1.221679697
DEBUG (9): receive 1 2, time: 0:0:1.224365200
DEBUG (17): receive 1 2, time: 0:0:1.224365200
DEBUG (2): receive 1 2, time: 0:0:1.224365200
DEBUG (7): receive 1 2, time: 0:0:1.224365200
DEBUG (10): receive 1 2, time: 0:0:1.224365200
DEBUG (1): receive 1 2, time: 0:0:1.224365200
DEBUG (4): receive 1 2, time: 0:0:1.224365200
DEBUG (3): receive 1 2, time: 0:0:1.224365200
DEBUG (6): receive 1 2, time: 0:0:1.224365200
DEBUG (12): receive 1 2, time: 0:0:1.224365200
DEBUG (15): receive 1 2, time: 0:0:1.224365200
DEBUG (5): receive 1 2, time: 0:0:1.224365200
DEBUG (10): send 1 2, time: 0:0:1.226562510
DEBUG (13): receive 1 2, time: 0:0:1.229797325
DEBUG (11): receive 1 2, time: 0:0:1.229797325
DEBUG (7): receive 1 2, time: 0:0:1.229797325
DEBUG (6): receive 1 2, time: 0:0:1.229797325
DEBUG (5): receive 1 2, time: 0:0:1.229797325
DEBUG (1): receive 1 2, time: 0:0:1.229797325
DEBUG (10): receive 1 2, time: 0:0:1.229797325
DEBUG (12): receive 1 2, time: 0:0:1.229797325
DEBUG (16): receive 1 2, time: 0:0:1.229797325
DEBUG (17): receive 1 2, time: 0:0:1.229797325
DEBUG (2): receive 1 2, time: 0:0:1.229797325
DEBUG (8): receive 1 2, time: 0:0:1.229797325
DEBUG (14): receive 1 2, time: 0:0:1.229797325
DEBUG (7): send 1 2, time: 0:0:1.230468760
DEBUG (13): receive 1 2, time: 0:0:1.231353741
DEBUG (15): receive 1 2, time: 0:0:1.231353741
DEBUG (17): receive 1 2, time: 0:0:1.231353741
DEBUG (8): receive 1 2, time: 0:0:1.231353741
DEBUG (5): receive 1 2, time: 0:0:1.231353741
DEBUG (3): receive 1 2, time: 0:0:1.231353741
DEBUG (1): receive 1 2, time: 0:0:1.231353741
DEBUG (4): receive 1 2, time: 0:0:1.231353741
DEBUG (7): receive 1 2, time: 0:0:1.231353741
DEBUG (6): receive 1 2, time: 0:0:1.231353741
DEBUG (2): receive 1 2, time: 0:0:1.231353741
DEBUG (9): receive 1 2, time: 0:0:1.231353741
DEBUG (14): receive 1 2, time: 0:0:1.231353741
DEBUG (16): receive 1 2, time: 0:0:1.231353741
DEBUG (11): receive 1 2, time: 0:0:1.231353741
DEBUG (11): send 1 2, time: 0:0:1.231445322
DEBUG (12): send 1 2, time: 0:0:1.236328135
DEBUG (13): receive 1 2, time: 0:0:1.237930270
DEBUG (15): receive 1 2, time: 0:0:1.237930270
DEBUG (14): receive 1 2, time: 0:0:1.237930270
DEBUG (4): receive 1 2, time: 0:0:1.237930270
DEBUG (1): receive 1 2, time: 0:0:1.237930270
DEBUG (12): receive 1 2, time: 0:0:1.237930270
DEBUG (16): receive 1 2, time: 0:0:1.237930270
DEBUG (7): receive 1 2, time: 0:0:1.237930270
DEBUG (5): receive 1 2, time: 0:0:1.237930270
DEBUG (10): receive 1 2, time: 0:0:1.237930270
DEBUG (17): receive 1 2, time: 0:0:1.237930270
DEBUG (9): receive 1 2, time: 0:0:1.237930270
DEBUG (17): receive 1 2, time: 0:0:1.239746049
DEBUG (15): receive 1 2, time: 0:0:1.239746049
DEBUG (8): receive 1 2, time: 0:0:1.239746049
DEBUG (12): receive 1 2, time: 0:0:1.239746049
DEBUG (2): receive 1 2, time: 0:0:1.239746049
DEBUG (5): receive 1 2, time: 0:0:1.239746049
DEBUG (16): receive 1 2, time: 0:0:1.239746049
DEBUG (4): receive 1 2, time: 0:0:1.239746049
DEBUG (9): receive 1 2, time: 0:0:1.239746049
DEBUG (13): receive 1 2, time: 0:0:1.239746049
DEBUG (3): receive 1 2, time: 0:0:1.239746049
DEBUG (11): receive 1 2, time: 0:0:1.239746049
DEBUG (10): receive 1 2, time: 0:0:1.239746049
DEBUG (14): receive 1 2, time: 0:0:1.239746049
DEBUG (13): send 1 2, time: 0:0:1.241210947
DEBUG (17): receive 1 2, time: 0:0:1.242904634
DEBUG (16): receive 1 2, time: 0:0:1.242904634
DEBUG (11): receive 1 2, time: 0:0:1.242904634
DEBUG (1): receive 1 2, time: 0:0:1.242904634
DEBUG (9): receive 1 2, time: 0:0:1.242904634
DEBUG (7): receive 1 2, time: 0:0:1.242904634
DEBUG (4): receive 1 2, time: 0:0:1.242904634
DEBUG (3): receive 1 2, time: 0:0:1.242904634
DEBUG (5): receive 1 2, time: 0:0:1.242904634
DEBUG (8): receive 1 2, time: 0:0:1.242904634
DEBUG (14): send 1 2, time: 0:0:1.246093760
DEBUG (9): receive 1 2, time: 0:0:1.246414164
DEBUG (6): receive 1 2, time: 0:0:1.246414164
DEBUG (7): receive 1 2, time: 0:0:1.246414164
DEBUG (4): receive 1 2, time: 0:0:1.246414164
DEBUG (3): receive 1 2, time: 0:0:1.246414164
DEBUG (11): receive 1 2, time: 0:0:1.246414164
DEBUG (14): receive 1 2, time: 0:0:1.246414164
DEBUG (10): receive 1 2, time: 0:0:1.246414164
DEBUG (2): receive 1 2, time: 0:0:1.246414164
DEBUG (17): receive 1 2, time: 0:0:1.246414164
DEBUG (1): receive 1 2, time: 0:0:1.246414164
DEBUG (15): receive 1 2, time: 0:0:1.246414164
DEBUG (5): receive 1 2, time: 0:0:1.246414164
DEBUG (15): send 1 2, time: 0:0:1.250976572
DEBUG (17): receive 1 2, time: 0:0:1.255874586
DEBUG (2): receive 1 2, time: 0:0:1.255874586
DEBUG (13): receive 1 2, time: 0:0:1.255874586
DEBUG (5): receive 1 2, time: 0:0:1.255874586
DEBUG (3): receive 1 2, time: 0:0:1.255874586
DEBUG (1): receive 1 2, time: 0:0:1.255874586
DEBUG (4): receive 1 2, time: 0:0:1.255874586
DEBUG (11): receive 1 2, time: 0:0:1.255874586
DEBUG (10): receive 1 2, time: 0:0:1.255874586
DEBUG (9): receive 1 2, time: 0:0:1.255874586
DEBUG (6): receive 1 2, time: 0:0:1.255874586
DEBUG (7): receive 1 2, time: 0:0:1.255874586
DEBUG (15): receive 1 2, time: 0:0:1.255874586
DEBUG (17): receive 1 2, time: 0:0:1.256896948
DEBUG (7): receive 1 2, time: 0:0:1.256896948
DEBUG (14): receive 1 2, time: 0:0:1.256896948
DEBUG (8): receive 1 2, time: 0:0:1.256896948
DEBUG (5): receive 1 2, time: 0:0:1.256896948
DEBUG (1): receive 1 2, time: 0:0:1.256896948
DEBUG (13): receive 1 2, time: 0:0:1.256896948
DEBUG (11): receive 1 2, time: 0:0:1.256896948
DEBUG (10): receive 1 2, time: 0:0:1.256896948
DEBUG (16): send 1 2, time: 0:0:1.274414072
DEBUG (17): receive 1 2, time: 0:0:1.277008051
DEBUG (12): receive 1 2, time: 0:0:1.277008051
DEBUG (11): receive 1 2, time: 0:0:1.277008051
DEBUG (6): receive 1 2, time: 0:0:1.277008051
DEBUG (5): receive 1 2, time: 0:0:1.277008051
DEBUG (4): receive 1 2, time: 0:0:1.277008051
DEBUG (3): receive 1 2, time: 0:0:1.277008051
DEBUG (10): receive 1 2, time: 0:0:1.277008051
DEBUG (9): receive 1 2, time: 0:0:1.277008051
DEBUG (7): receive 1 2, time: 0:0:1.277008051
DEBUG (17): send 1 2, time: 0:0:1.279296885
DEBUG (7): receive 1 2, time: 0:0:1.285842867
DEBUG (14): receive 1 2, time: 0:0:1.285842867
DEBUG (15): receive 1 2, time: 0:0:1.285842867
DEBUG (11): receive 1 2, time: 0:0:1.285842867
DEBUG (6): receive 1 2, time: 0:0:1.285842867
DEBUG (4): receive 1 2, time: 0:0:1.285842867
DEBUG (3): receive 1 2, time: 0:0:1.285842867
DEBUG (5): receive 1 2, time: 0:0:1.285842867
DEBUG (10): receive 1 2, time: 0:0:1.285842867
DEBUG (9): receive 1 2, time: 0:0:1.285842867
DEBUG (8): receive 1 2, time: 0:0:1.285842867
DEBUG (16): receive 1 2, time: 0:0:1.285842867
DEBUG (13): receive 1 2, time: 0:0:1.285842867
DEBUG (12): receive 1 2, time: 0:0:1.285842867
DEBUG (3): send 3 1, time: 0:0:1.757812510
DEBUG (1): send 1 3, time: 0:0:1.757812510
DEBUG (7): receive 3 1, time: 0:0:1.762222274
DEBUG (16): receive 3 1, time: 0:0:1.762222274
DEBUG (17): receive 3 1, time: 0:0:1.762222274
DEBUG (4): receive 3 1, time: 0:0:1.762222274
DEBUG (1): receive 3 1, time: 0:0:1.762222274
DEBUG (14): receive 3 1, time: 0:0:1.762222274
DEBUG (8): receive 3 1, time: 0:0:1.762222274
DEBUG (5): receive 3 1, time: 0:0:1.762222274
DEBUG (6): receive 3 1, time: 0:0:1.762222274
DEBUG (13): receive 3 1, time: 0:0:1.762222274
DEBUG (12): receive 3 1, time: 0:0:1.762222274
DEBUG (10): receive 3 1, time: 0:0:1.762222274
DEBUG (13): receive 1 3, time: 0:0:1.763015726
DEBUG (8): receive 1 3, time: 0:0:1.763015726
DEBUG (15): receive 1 3, time: 0:0:1.763015726
DEBUG (5): receive 1 3, time: 0:0:1.763015726
DEBUG (14): receive 1 3, time: 0:0:1.763015726
DEBUG (9): receive 1 3, time: 0:0:1.763015726
DEBUG (12): receive 1 3, time: 0:0:1.763015726
DEBUG (6): receive 1 3, time: 0:0:1.763015726
DEBUG (3): receive 1 3, time: 0:0:1.763015726
DEBUG (11): receive 1 3, time: 0:0:1.763015726
DEBUG (4): receive 1 3, time: 0:0:1.763015726
DEBUG (10): receive 1 3, time: 0:0:1.763015726
DEBUG (1): send 3 1, time: 0:0:1.766601572
DEBUG (13): receive 3 1, time: 0:0:1.776168777
DEBUG (8): receive 3 1, time: 0:0:1.776168777
DEBUG (4): receive 3 1, time: 0:0:1.776168777
DEBUG (11): receive 3 1, time: 0:0:1.776168777
